id,text,county,created_at,sentiment_score,sentiment_label,keywords,retweet_count,favorite_count,source_type,username,location,title,source,url,health_relevance_score,disease_type,outbreak_status,case_count,interest_score,date,outbreak_occurred,health_relevance_score_computed,is_recent,is_weekend,text_length,word_count,has_county,is_social_media,is_news,is_official,engagement_score,high_engagement
24,Just got diagnosed with malaria in Kajiado. Feeling terrible! 😷,kajiado,2025-10-23 15:00:33.580418,0.0,,['malaria'],12,34,twitter,,,,,,,,,,0,2025-10-23,0,0.3,True,False,63,10,1,1,0,0,46,1
25,Flu season is here in Tharaka Nithi. Remember to wash your hands!,tharaka nithi,2025-10-24 02:56:33.580418,0.0,,['flu'],5,81,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,65,12,1,1,0,0,86,1
26,Water shortage in Samburu causing health concerns,samburu,2025-10-23 16:44:33.580418,0.0,,['health'],45,98,twitter,,,,,,,,,,0,2025-10-23,0,0.2,True,False,49,7,1,1,0,0,143,1
27,COVID cases rising in Garissa. Please wear masks!,garissa,2025-10-23 03:17:33.580418,0.0,,['covid'],5,49,twitter,,,,,,,,,,0,2025-10-23,0,0.3,True,False,49,8,1,1,0,0,54,1
28,Outbreak of cholera reported in Taita Taveta. Stay safe everyone!,taita taveta,2025-10-22 23:21:33.580418,0.0,,"['cholera', 'outbreak']",8,26,twitter,,,,,,,,,,0,2025-10-22,1,0.6,True,False,65,10,1,1,0,0,34,1
29,Clinic in Uasin Gishu running out of malaria medication,uasin gishu,2025-10-23 11:35:33.580418,0.0,,"['malaria', 'clinic', 'medication']",13,54,twitter,,,,,,,,,,0,2025-10-23,1,0.4,True,False,55,9,1,1,0,0,67,1
30,Clinic in Mombasa running out of malaria medication,mombasa,2025-10-23 02:15:33.580418,0.0,,"['malaria', 'clinic', 'medication']",1,28,twitter,,,,,,,,,,0,2025-10-23,1,0.4,True,False,51,8,1,1,0,0,29,1
31,Dengue fever cases reported in Siaya,siaya,2025-10-21 23:19:33.580418,0.0,,['fever'],0,48,twitter,,,,,,,,,,0,2025-10-21,0,0.3,True,False,36,6,1,1,0,0,48,1
32,Health officials investigating suspected TB cases in Elgeyo Marakwet,elgeyo marakwet,2025-10-22 04:46:33.580418,0.0,,['health'],39,94,twitter,,,,,,,,,,0,2025-10-22,0,0.2,True,False,68,9,1,1,0,0,133,1
33,Food poisoning outbreak in Machakos restaurant,machakos,2025-10-22 06:10:33.580418,0.0,,['outbreak'],4,17,twitter,,,,,,,,,,0,2025-10-22,1,0.4,True,False,46,6,1,1,0,0,21,1
34,Yellow fever vaccination campaign in Taita Taveta,taita taveta,2025-10-21 06:52:33.580418,0.0,,"['fever', 'vaccination']",20,30,twitter,,,,,,,,,,0,2025-10-21,0,0.3,True,False,49,7,1,1,0,0,50,1
35,Yellow fever vaccination campaign in Bungoma,bungoma,2025-10-21 04:44:33.580418,0.0,,"['fever', 'vaccination']",13,15,twitter,,,,,,,,,,0,2025-10-21,0,0.3,True,False,44,6,1,1,0,0,28,1
36,Outbreak of cholera reported in Isiolo. Stay safe everyone!,isiolo,2025-10-20 18:56:33.580418,0.0,,"['cholera', 'outbreak']",26,94,twitter,,,,,,,,,,0,2025-10-20,1,0.6,True,False,59,9,1,1,0,0,120,1
37,Flu season is here in Laikipia. Remember to wash your hands!,laikipia,2025-10-21 04:34:33.580418,0.0,,['flu'],2,13,twitter,,,,,,,,,,0,2025-10-21,0,0.3,True,False,60,11,1,1,0,0,15,1
1,"Dominiek Viaene is the founder and owner of Protex Healthcare West Africa, a pacesetter in wound, burn and scar care with headquarters in Belgium and branches in Sub-Saharan Africa, which include Nig… [+19012 chars]",,2025-10-25 04:25:35.000000,0.0,,['health'],0,0,news,,,"In healthcare, patient’s interest must always be the priority, not money – Viaene",News API,https://guardian.ng/features/health/in-healthcare-patients-interest-must-always-be-the-priority-not-money-viaene/,,,,,0,2025-10-25,0,0.3,True,True,215,34,0,0,1,1,0,0
2,"Deputy Presidents Spouse, Dr Joyce Kithure, has called for stronger action to curb high levels of lead in various forms in the country, saying it is exposing Kenyans to higher health risks.
Dr. Kith… [+2367 chars]",,2025-10-24 19:33:35.000000,0.0,,['health'],0,0,news,,,Dr. Joyce Kithure Kindiki urges total ban on lead products to protect public health,News API,https://www.citizen.digital/news/dr-joyce-kithure-kindiki-urges-total-ban-on-lead-to-protect-public-health-n371891,,,,,0,2025-10-24,0,0.3,True,False,214,36,0,0,1,1,0,0
3,"Now is the time when we find out to what degree and how we will swim rather than sink, as public health innovators and practitioners. In this episode, I talk to my former student Olivia Francis, who … [+1280 chars]",,2025-10-24 18:00:00.000000,0.0,,"['health', 'who']",0,0,news,,,Sink or Swim,News API,https://insights.som.yale.edu/podcasts/impact-innovation/sink-or-swim,,,,,0,2025-10-24,0,0.3,True,False,214,40,0,0,1,1,0,0
4,"Abstract
Background
Crimean-Congo Hemorrhagic Fever (CCHF) is a potential high-threat zoonotic disease caused by the Crimean-Congo hemorrhagic fever virus (CCHFV). Transmission of CCHFV occurs prim… [+26998 chars]",,2025-10-24 17:00:00.000000,0.0,,"['disease', 'fever']",0,0,news,,,Serologic evidence of crimean-congo hemorrhagic fever virus exposure among livestock and farmers in the democratic republic of the Congo,News API,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013648,,,,,0,2025-10-24,1,0.4,True,False,215,27,0,0,1,1,0,0
5,"Narok Governor Patrick ole Ntutu. [File, Standard]
Narok County is making major strides in strengthening its healthcare system through investments aimed at reducing mortality rates and improving acc… [+2894 chars]",narok,2025-10-24 14:45:41.000000,0.0,,['health'],0,0,news,,,Narok County boosts health services with new facilities and staff,News API,https://www.standardmedia.co.ke/rift-valley/article/2001532592/narok-county-boosts-health-services-with-new-facilities-and-staff,,,,,0,2025-10-24,0,0.3,True,False,214,30,1,0,1,1,0,0
6,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+8376 chars]",,2025-10-24 14:10:19.000000,0.0,,"['disease', 'fever']",0,0,news,,,What is Rift Valley fever? The viral disease transmitted by mosquitoes,News API,https://www.the-independent.com/life-style/health-and-families/rift-valley-fever-symptoms-virus-mosquitoes-b2851498.html,,,,,0,2025-10-24,1,0.4,True,False,214,35,0,0,1,1,0,0
7,"In this report, the authors examine the People's Republic of China's global health activities in Africa. They describe the evolution of those activities and related policies from the 1960s through th… [+1125 chars]",,2025-10-24 11:45:00.000000,0.0,,['health'],0,0,news,,,China's Global Health Activities in Africa,News API,https://www.rand.org/pubs/research_reports/RRA4151-1.html,,,,,0,2025-10-24,0,0.2,True,False,214,33,0,0,1,1,0,0
8,"4City tycoon Agnes Kagure has once again moved Nairobians and Kenyans at large with her heartfelt message on World Polio Day, reaffirming her deep commitment to public health and child welfare.
Thro… [+1990 chars]",nairobi,2025-10-24 08:03:16.000000,0.0,,['health'],0,0,news,,,"Agnes Kagure honours health workers on World Polio Day, announces bold health plan - Kenya Digest",News API,https://kenyadigest.com/agnes-kagure-honours-health-workers-on-world-polio-day-announces-bold-health-plan/,,,,,0,2025-10-24,0,0.2,True,False,214,34,1,0,1,1,0,0
9,"In 2025, Canada’s universal health care or Medicare system confronted a stark wake-up call. Many high-visibility service disruptions exposed the health care delivery model’s fragility and stress poin… [+4255 chars]",,2025-10-23 20:00:10.000000,0.0,,['health'],0,0,news,,,Canada’s 2025 health care crisis explained,News API,https://kevinmd.com/2025/10/canadas-2025-health-care-crisis-explained.html,,,,,0,2025-10-23,1,0.5,True,False,214,30,0,0,1,1,0,0
10,"Rift Valley Fever (RVF) is a viral disease transmitted by mosquitoes that mainly affects livestock. It can also infect humans. While most human cases remain mild, it can cause death. The disease caus… [+7779 chars]",,2025-10-23 17:28:56.000000,0.0,,"['disease', 'fever']",0,0,news,,,"Rift Valley fever: what it is, how it spreads and how to stop it",News API,https://theconversation.com/rift-valley-fever-what-it-is-how-it-spreads-and-how-to-stop-it-267309,,,,,0,2025-10-23,0,0.3,True,False,214,35,0,0,1,1,0,0
11,"Abstract
Soil-transmitted helminths, like Ascaris lumbricoides, are significant contributors to disease burden in low- and middle-income countries (LMICs). Infections are associated with morbidity a… [+70032 chars]",,2025-10-23 17:00:00.000000,0.0,,['disease'],0,0,news,,,Investigating cement-based surfaces as a sustainable flooring solution to improve Ascaris Suum egg removal and inactivation in low-resource settings,News API,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0012919,,,,,0,2025-10-23,0,0.1,True,False,215,26,0,0,1,1,0,0
12,"Former Cabinet Secretary, James Macharia, has been appointed as the Chairman of Sidian Bank, taking over from Centum Investment Company Group CEO, Dr James Mworia.
Macharia is a veteran banker who h… [+1497 chars]",,2025-10-23 13:33:17.000000,0.0,,['who'],0,0,news,,,Former CS James Macharia named Sidian Bank chairman,News API,https://www.citizen.digital/business/former-cs-james-macharia-named-sidian-bank-chairman-n371812,,,,,0,2025-10-23,0,0.1,True,False,214,34,0,0,1,1,0,0
13,"Dublin, Oct. 23, 2025 (GLOBE NEWSWIRE) -- The ""Healthcare Cybersecurity Market - Global Forecast 2025-2032"" report has been added to ResearchAndMarkets.com's offering.
Healthcare cybersecurity is in… [+9940 chars]",,2025-10-23 11:53:00.000000,0.0,,['health'],0,0,news,,,"$29.5 Billion Healthcare Cybersecurity Market Analysis Report 2025: Global, Regional and Country-Level Forecasts to 2032",News API,https://www.globenewswire.com/news-release/2025/10/23/3171772/28124/en/29-5-Billion-Healthcare-Cybersecurity-Market-Analysis-Report-2025-Global-Regional-and-Country-Level-Forecasts-to-2032.html,,,,,0,2025-10-23,0,0.2,True,False,214,28,0,0,1,1,0,0
14,"On October 22, 2020, 34 countries signed the Geneva Consensus Declaration (GCD), stating that abortion is not an “international human right,” nations have the right to set their own health and family… [+4899 chars]",,2025-10-23 07:00:00.000000,0.0,,['health'],0,0,news,,,When an ‘international consensus’ is conservative for once,News API,https://www.americanthinker.com/blog/2025/10/when_an_international_consensus_is_conservative_for_once.html,,,,,0,2025-10-23,0,0.2,True,False,214,34,0,0,1,1,0,0
15,"Abstract
African swine fever (ASF) is an acute, hemorrhagic, and severe infectious disease caused by African swine fever virus (ASFV), posing significant threats to global swine production. ASFV pat… [+68813 chars]",,2025-10-22 17:00:00.000000,0.0,,"['disease', 'fever']",0,0,news,,,African swine fever virus pB318L suppresses inflammatory response by inhibiting NF-κB activation and NLRP3 inflammasome formation,News API,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013558,,,,,0,2025-10-22,0,0.3,True,False,215,31,0,0,1,1,0,0
16,"Abstract
Aedes aegypti is the primary vector of arboviruses in Senegal, yet this species is not typically targeted by routine vector control programs. Through entomological surveillance, we investig… [+62965 chars]",,2025-10-22 17:00:00.000000,0.0,,['dengue'],0,0,news,,,"Entomological surveys and insecticide resistance in the dengue vector Aedes aegypti in Dakar, Senegal: First detection of the kdr mutation",News API,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013657,,,,,0,2025-10-22,0,0.1,True,False,215,30,0,0,1,1,0,0
17,"John Mbadi Cabinet Secretary, The National Treasury and Economic Planing chats with The Controller of Budget Margaret Nyakang'o during 2025 medium term debt management strategy (MTDS).[Wilberforce Ok… [+951 chars]",,2025-10-22 16:50:43.000000,0.0,,['hospital'],0,0,news,,,Report: Public debt payments starving hospitals and schools,News API,https://www.standardmedia.co.ke/business/business/article/2001532358/report-public-debt-payments-starving-hospitals-and-schools,,,,,0,2025-10-22,0,0.2,True,False,213,29,0,0,1,1,0,0
18,"Health CS Aden Duale at Afya House on 26th May 2025. [Wilberforce Okwiri, Standard]
The Council of Governors (COG) has pointed an accusing finger at Health Cabinet Secretary Aden Duale for the chall… [+2486 chars]",,2025-10-22 15:54:20.000000,0.0,,['health'],0,0,news,,,Governors accuse Health CS Duale of being a bully,News API,https://www.standardmedia.co.ke/national/article/2001532410/governors-accuse-health-cs-duale-of-being-a-bully,,,,,0,2025-10-22,0,0.2,True,False,214,35,0,0,1,1,0,0
19,"A Guardian spatial repellent hung in a schoolroom in Busia County, Kenya.
SC Johnson
Ten years ago, when Eric Ochomo started researching a relatively new type of mosquito control device, he didnt r… [+13144 chars]",busia,2025-10-22 12:15:49.000000,0.0,,['malaria'],0,0,news,,,Spatial Repellents Could Help Supercharge The Fight Against Malaria,News API,https://www.forbes.com/sites/christinero/2025/10/22/spatial-repellents-could-help-supercharge-the-fight-against-malaria/,,,,,0,2025-10-22,0,0.3,True,False,215,35,1,0,1,1,0,0
20,"Milk is one of the most familiar things in the world – comforting, wholesome, ordinary. But beneath this common perception lies something far more complicated.

Examining the UK and Kenya, our projec… [+6184 chars]",,2025-10-22 12:02:46.000000,0.0,,['who'],0,0,news,,,"The politics of milk: a how a simple drink got caught up in power, culture and identity",News API,https://theconversation.com/the-politics-of-milk-a-how-a-simple-drink-got-caught-up-in-power-culture-and-identity-263476,,,,,0,2025-10-22,0,0.1,True,False,214,34,0,0,1,1,0,0
21,"Milk is one of the most familiar things in the world – comforting, wholesome, ordinary. But beneath this common perception lies something far more complicated.

Examining the UK and Kenya, our projec… [+6184 chars]",,2025-10-22 12:02:46.000000,0.0,,['who'],0,0,news,,,"The politics of milk: how a simple drink got caught up in power, culture and identity",News API,https://theconversation.com/the-politics-of-milk-how-a-simple-drink-got-caught-up-in-power-culture-and-identity-263476,,,,,0,2025-10-22,0,0.1,True,False,214,34,0,0,1,1,0,0
22,"The Middle East has successfully positioned itself as a global aviation hub. Emirates, Qatar Airways, and Etihadled by Group CEO Antonoaldo Neves, who joins us as a speakerhave created connectivity t… [+5794 chars]",,2025-10-22 09:15:16.000000,0.0,,['who'],0,0,news,,,The Middle East’s Corridor Moment: Why Abu Dhabi is Ground Zero for Flow Tourism Strategy,News API,http://skift.com/2025/10/22/middle-east-corridor-abu-dhabi-flow-tourism-strategy/,,,,,0,2025-10-22,0,0.1,True,False,214,33,0,0,1,1,0,0
23,Racial diversity impacts health care delivery. North American nations like Canada and the U.S. are multi-racial. The U.S. addresses equity via programmatic and regulatory levers layered on a fragment… [+5273 chars],,2025-10-21 20:00:45.000000,0.0,,['health'],0,0,news,,,How diverse nations tackle health care equity,News API,https://kevinmd.com/2025/10/how-diverse-nations-tackle-health-care-equity.html,,,,,0,2025-10-21,0,0.2,True,False,214,31,0,0,1,1,0,0
24,"Fish are a nutritious, affordable protein and source of income to those who catch and sell them. As millions of people in Africa suffer from undernutrition, a lack of vital vitamins and minerals and … [+7771 chars]",,2025-10-21 18:16:23.000000,0.0,,['who'],0,0,news,,,Fish is good food and demand outstrips supply in Kenya: how to produce more and get it to market safely,News API,https://theconversation.com/fish-is-good-food-and-demand-outstrips-supply-in-kenya-how-to-produce-more-and-get-it-to-market-safely-266104,,,,,0,2025-10-21,0,0.1,True,False,214,37,0,0,1,1,0,0
25,"Abstract
Malaria remains a major global health concern, especially in tropical regions such as the Peruvian Amazon. Installing ceiling-mounted mosquito nets in houses has been proposed as a strategy… [+43117 chars]",,2025-10-21 17:00:00.000000,0.0,,"['health', 'malaria']",0,0,news,,,Efficacy of ceiling-mounted mosquito nets for malaria vector control in a Peruvian Amazon riverine community: A stepped-wedge cluster randomized trial,News API,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0325089,,,,,0,2025-10-21,1,0.4,True,False,215,31,0,0,1,1,0,0
26,"A section of Kiambu doctors have been handed a reprieve after the Employment and Labour Relations Court issued orders temporarily stopping the Kiambu County government from replacing them, pending th… [+2625 chars]",,2025-10-21 13:19:17.000000,0.0,,"['health', 'doctor']",0,0,news,,,Labour Court Stops Kiambu County from Firing Replacing Doctors Amid Health Crisis,News API,http://www.kenyans.co.ke/news/117303-labour-court-stops-kiambu-county-firing-replacing-doctors-amid-health-crisis,,,,,0,2025-10-21,1,0.6,True,False,214,32,0,0,1,1,0,0
27,<ul><li>Methanol poisoning warnings added to eight new countries.</li><li>Follows an increase in cases of serious illness and death caused by alcoholic drinks tainted with methanol in popular oversea… [+4692 chars],,2025-10-21 12:53:46.000000,0.0,,['illness'],0,0,news,,,Foreign Office warnings for Brits expanded for methanol poisoning,News API,https://www.gov.uk/government/news/foreign-office-warnings-for-brits-expanded-for-methanol-poisoning,,,,,0,2025-10-21,0,0.3,True,False,214,29,0,0,1,1,0,0
28,"President William Ruto. [file, Standard]
President William Ruto has asked Kenyans who are asked to pay for healthcare services despite the rollout of Universal Health Coverage (UHC) to report such c… [+1591 chars]",,2025-10-21 10:46:25.000000,0.0,,"['health', 'hospital', 'who']",0,0,news,,,Ruto urges Kenyans to report hospitals that charge SHA members,News API,https://www.standardmedia.co.ke/health/health-science/article/2001532287/ruto-urges-kenyans-to-report-hospitals-that-charge-sha-members,,,,,0,2025-10-21,0,0.3,True,False,214,33,0,0,1,1,0,0
29,"Professor Lukoye Atwoli, son of COTU Secretary General Francis Atwoli, has been appointed to an international leadership role. Lukoye Atwoli, who is the Dean of Aga Khan University (AKU) Medical Coll… [+3487 chars]",,2025-10-21 09:46:58.000000,0.0,,"['health', 'who']",0,0,news,,,Lukoye Atwoli Becomes First African President Of World Health Summit Regional Meeting,News API,https://thekenyatimes.com/latest-kenya-times-news/national/lukoye-atwoli/,,,,,0,2025-10-21,0,0.2,True,False,214,33,0,0,1,1,0,0
30,"This cross-sectional survey revealed that, despite caregivers predominantly using mainstream healthcare pathways and early recognition of ASD symptoms, the diagnosis of ASD in children was delayed by… [+10339 chars]",nairobi,2025-10-21 03:00:00.000000,0.0,,"['health', 'hospital']",0,0,news,,,Pathways and delays in the diagnosis of autism spectrum disorder in Kenya: a cross-sectional study from tertiary hospitals in Nairobi,News API,https://capmh.biomedcentral.com/articles/10.1186/s13034-025-00916-2,,,,,0,2025-10-21,0,0.3,True,False,215,29,1,0,1,1,0,0
31,"Questions are growing in Kenya over how the government and key institutions managed Raila Odingas health issues and the announcement of his death.
Raila Odinga, 80, died in India after suffering a c… [+2307 chars]",,2025-10-20 18:11:52.000000,0.0,,['health'],0,0,news,,,Questions emerge over government’s handling of Raila Odinga’s health and death announcement,News API,https://mambomseto.co.ke/questions-emerge-over-governments-handling-of-raila-odingas-health-and-death-announcement/,,,,,0,2025-10-20,0,0.2,True,False,214,35,0,0,1,1,0,0
32,President William Ruto has reflected on former Prime Minister Raila Odingas health challenges before his demise. In his tribute at Jaramogi Oginga Odinga University of Science and Technology (JOOUST)… [+3163 chars],,2025-10-19 17:51:02.000000,0.0,,['health'],0,0,news,,,Ruto Reveals Raila’ Health Struggles In Final Months Before His Death,News API,https://thekenyatimes.com/latest-kenya-times-news/ruto-lifts-lid-on-railas-health-struggles-in-final-months-before-his-death/,,,,,0,2025-10-19,0,0.2,True,True,214,31,0,0,1,1,0,0
33,"NEMA acting Director of Environmental Services Dr Charles Lange. [Juliet Omelo, Standard]
Kenya is set to host the first-ever Pan-African Conference on Environment, Climate Change and Health from Oc… [+2507 chars]",,2025-10-19 17:45:06.000000,0.0,,['health'],0,0,news,,,Kenya to host conference linking climate change and health,News API,https://www.standardmedia.co.ke/environment-climate/article/2001532177/kenya-to-host-conference-linking-climate-change-and-health,,,,,0,2025-10-19,0,0.2,True,True,214,31,0,0,1,1,0,0
34,"Medical Services PS Ouma Oluga speaks during the handing over of the KNH CEO position at the hospital's premises on August 19, 2025. [Juliet Omelo, Standard]
In December 2016, doctors in Kenya took … [+6582 chars]",,2025-10-18 14:38:29.000000,0.0,,"['hospital', 'doctor']",0,0,news,,,From protest to policy: A stand for dignity and change,News API,https://www.standardmedia.co.ke/health/health-opinion/article/2001532053/from-protest-to-policy-a-stand-for-dignity-and-change,,,,,0,2025-10-18,0,0.3,True,True,214,36,0,0,1,1,0,0
35,"Ivelyse Andino founded Radical Health as the first public benefit corporation in New York state, to build community around health. After navigating the health care system on her own to help support h… [+1100 chars]",,2025-10-17 18:00:00.000000,0.0,,['health'],0,0,news,,,Radical Health,News API,https://insights.som.yale.edu/podcasts/impact-innovation/radical-health,,,,,0,2025-10-17,0,0.1,False,False,214,35,0,0,1,1,0,0
36,"Abstract
Background
Coxiella burnetii, the causative agent of Q fever, is a globally distributed pathogen with significant zoonotic and economic impacts, particularly in regions where humans and li… [+51034 chars]",isiolo,2025-10-17 17:00:00.000000,0.0,,['fever'],0,0,news,,,Sero-epidemiology of Coxiella burnetii in livestock and humans in Isiolo county Kenya,News API,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013557,,,,,0,2025-10-17,0,0.2,False,False,215,30,1,0,1,1,0,0
37,"Abstract
Sustainable intensification of livestock production relies critically on effective disease management, yet the environmental implications of current practices remain poorly understood. The … [+42410 chars]",,2025-10-17 17:00:00.000000,0.0,,"['health', 'disease']",0,0,news,,,From protection to pollution: Evaluating environmental and human health risks of acaricide use in dairy farming in Kenya,News API,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0333694,,,,,0,2025-10-17,0,0.1,False,False,215,26,0,0,1,1,0,0
38,"Raila Amollo Odinga, who has died at the age of 80, was something of a paradox in post-independence Kenyan politics.
A leader who repeatedly ran for president, he never won in part due to the 2007 e… [+9334 chars]",,2025-10-17 16:47:00.000000,0.0,,['who'],0,0,news,,,Raila Odinga: the man who changed Kenya without ever ruling it,News API,https://www.yahoo.com/news/articles/raila-odinga-man-changed-kenya-134700399.html,,,,,0,2025-10-17,0,0.0,False,False,214,39,0,0,1,1,0,0
39,"TNX-801 is a live virus vaccine investigational candidate, designed to provide durable protection against mpox and smallpox
TNX-801 demonstrated favorable safety, immunogenicity, and long-term prote… [+15682 chars]",,2025-10-17 14:00:00.000000,0.0,,['vaccine'],0,0,news,,,Tonix Pharmaceuticals Presented Data on TNX-801 Mpox Vaccine at World Vaccine Congress–Europe 2025,News API,https://www.globenewswire.com/news-release/2025/10/17/3168531/28908/en/Tonix-Pharmaceuticals-Presented-Data-on-TNX-801-Mpox-Vaccine-at-World-Vaccine-Congress-Europe-2025.html,,,,,0,2025-10-17,0,0.0,False,False,215,27,0,0,1,1,0,0
40,"Skip to content
The medical team at Devamatha Hospital in Kochi, India, has confirmed that the late former Prime Minister Raila Odinga was battling several long-term health conditions before his dea… [+3317 chars]",,2025-10-16 07:21:51.000000,0.0,,"['health', 'hospital']",0,0,news,,,Indian Cardiologist reveals Raila Odinga’s hidden health struggles before his final collapse,News API,https://254news.co.ke/indian-cardiologist-reveals-raila-odingas-hidden-health-struggles-before-his-final-collapse/,,,,,0,2025-10-16,0,0.2,False,False,214,33,0,0,1,1,0,0
41,"Doctors at Devamatha Hospital in Southern India have shed light on the final health struggles of former Prime Minister Raila Odinga, revealing that he was suffering from several illnesses before his … [+2937 chars]",,2025-10-16 07:02:39.000000,0.0,,"['health', 'illness', 'hospital', 'doctor']",0,0,news,,,Indian doctors recount Raila Odinga’s final struggle with multiple health complications before his passing - Kenya Daily Online,News API,https://kenyadaily.online/indian-doctors-recount-raila-odingas-final-struggle-with-multiple-health-complications-before-his-passing/,,,,,0,2025-10-16,1,0.5,False,False,214,34,0,0,1,1,0,0
42,"Abstract
Background
Hepatic veno-occlusive disease (HVOD) is a rare but severe condition characterized by the blockage of microscopic veins in the liver due to endothelial damage, leading to sub-en… [+53158 chars]",,2025-10-15 17:00:00.000000,0.0,,['disease'],0,0,news,,,"Community perceptions and practices on hepatic veno-occlusive disease in Tigray, Ethiopia: An explorative study challenging the attribution to Ageratum conyzoides",News API,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013621,,,,,0,2025-10-15,0,0.0,False,False,215,31,0,0,1,1,0,0
