id,text,county,created_at,sentiment_score,sentiment_label,keywords,retweet_count,favorite_count,source_type,username,location,title,source,url,health_relevance_score,interest_score,date,outbreak_occurred,is_recent,is_weekend,text_length,word_count,has_county,is_social_media,is_news,is_official,engagement_score,high_engagement
21,Is there a malaria outbreak? Hearing lots of cases in Nairobi,kisii,2025-07-23 01:03:32.314385,-0.28738271108740426,negative,[],4,40,twitter,user3103,"Kisii, Kenya",,,,1.0,0,2025-07-23,1,False,False,61,11,1,1,0,0,44,0
23,Visited hospital today - so many pneumonia patients. Stay healthy Kakamega!,mombasa,2025-08-01 14:54:32.314385,-0.2788745687144984,negative,[],24,2,twitter,user5472,"Mombasa, Kenya",,,,0.5,0,2025-08-01,1,False,False,75,11,1,1,0,0,26,0
24,"Feeling terrible - dizziness, dizziness and dizziness. Hope it's not covid",nairobi,2025-07-29 02:06:32.326945,-0.1324812636030149,negative,[],24,56,twitter,user1600,"Nairobi, Kenya",,,,0.75,0,2025-07-29,1,False,False,74,11,1,1,0,0,80,0
25,PSA: Get checked if you have pain. flu is spreading in Kitale,nakuru,2025-07-21 22:05:32.329517,-0.1557275050634526,negative,[],45,84,twitter,user5427,"Nakuru, Kenya",,,,0.75,0,2025-07-21,1,False,False,61,12,1,1,0,0,129,1
26,My friend has sweating and sweating. Should we worry about cholera?,busia,2025-08-09 11:52:32.329517,-0.1913288281054077,negative,[],8,93,twitter,user6495,"Busia, Kenya",,,,0.75,0,2025-08-09,1,False,True,67,11,1,1,0,0,101,1
27,Health alert: flu cases increasing in Nairobi area,meru,2025-08-18 19:18:32.331968,-0.21134278366426135,negative,[],14,100,twitter,user2896,"Meru, Kenya",,,,0.75,0,2025-08-18,1,False,False,50,8,1,1,0,0,114,1
28,"Feeling terrible - sweating, sweating and sweating. Hope it's not diarrhea",kilifi,2025-10-03 22:36:32.331968,-0.2388876308617373,negative,[],3,57,twitter,user6615,"Kilifi, Kenya",,,,0.5,0,2025-10-03,1,False,False,74,11,1,1,0,0,60,0
29,Anyone else in Mombasa experiencing fatigue? Worried about meningitis,machakos,2025-07-14 17:02:32.331968,-0.14799357221342144,negative,[],10,56,twitter,user5843,"Machakos, Kenya",,,,0.5,0,2025-07-14,1,False,False,69,9,1,1,0,0,66,0
30,PSA: Get checked if you have sweating. yellow fever is spreading in Kisii,nairobi,2025-08-24 07:56:32.331968,-0.22941960898258068,negative,[],29,31,twitter,user7547,"Nairobi, Kenya",,,,0.75,0,2025-08-24,1,False,True,73,13,1,1,0,0,60,0
31,"Feeling terrible - fever, fever and fever. Hope it's not cholera",nairobi,2025-10-05 10:47:32.331968,-0.2831088650493971,negative,[],45,81,twitter,user3170,"Nairobi, Kenya",,,,1.0,0,2025-10-05,1,True,True,64,11,1,1,0,0,126,1
32,Anyone else in Meru experiencing nausea? Worried about yellow fever,kisii,2025-09-05 18:22:32.331968,-0.13195552965163596,negative,[],32,45,twitter,user8562,"Kisii, Kenya",,,,0.75,0,2025-09-05,1,False,False,67,10,1,1,0,0,77,0
33,Experiencing chills and chills. Could this be influenza? #health #Kenya,busia,2025-07-30 20:27:32.331968,-0.27108292513827503,negative,[],28,95,twitter,user8440,"Busia, Kenya",,,,0.75,0,2025-07-30,1,False,False,71,10,1,1,0,0,123,1
34,Is there a dengue outbreak? Hearing lots of cases in Nyeri,kisii,2025-08-28 06:55:32.331968,-0.18976894121047394,negative,[],45,24,twitter,user2630,"Kisii, Kenya",,,,0.75,0,2025-08-28,1,False,False,58,11,1,1,0,0,69,0
35,Health alert: dengue cases increasing in Kisumu area,machakos,2025-09-22 13:20:32.331968,-0.11034432272826222,negative,[],25,22,twitter,user4737,"Machakos, Kenya",,,,0.5,0,2025-09-22,1,False,False,52,8,1,1,0,0,47,0
36,My friend has dizziness and dizziness. Should we worry about typhoid?,kisii,2025-07-26 09:07:32.343069,-0.18335917852528089,negative,[],27,6,twitter,user4808,"Kisii, Kenya",,,,0.5,0,2025-07-26,1,False,True,69,11,1,1,0,0,33,0
37,Visited hospital today - so many dengue patients. Stay healthy Kisumu!,kericho,2025-07-22 16:02:32.343069,-0.1558036479644916,negative,[],9,36,twitter,user6742,"Kericho, Kenya",,,,0.5,0,2025-07-22,1,False,False,70,11,1,1,0,0,45,0
38,Is there a meningitis outbreak? Hearing lots of cases in Garissa,malindi,2025-10-07 20:07:32.346252,-0.2516354187960049,negative,[],37,54,twitter,user7986,"Malindi, Kenya",,,,0.75,0,2025-10-07,1,True,False,64,11,1,1,0,0,91,0
39,"Feeling terrible - cough, cough and cough. Hope it's not dengue",machakos,2025-09-30 20:59:32.346252,-0.14554964693978817,negative,[],43,49,twitter,user4457,"Machakos, Kenya",,,,0.5,0,2025-09-30,1,False,False,63,11,1,1,0,0,92,0
40,Cases of dengue reported in Malindi. Please stay safe everyone!,machakos,2025-07-22 01:20:32.348500,-0.13042107741510864,negative,[],8,86,twitter,user6543,"Machakos, Kenya",,,,0.5,0,2025-07-22,1,False,False,63,10,1,1,0,0,94,0
41,Is there a covid outbreak? Hearing lots of cases in Meru,kisii,2025-09-21 21:29:32.348500,-0.26348177339960266,negative,[],43,25,twitter,user8627,"Kisii, Kenya",,,,1.0,0,2025-09-21,1,False,True,56,11,1,1,0,0,68,0
42,Is there a typhoid outbreak? Hearing lots of cases in Meru,garissa,2025-09-28 18:16:32.348500,-0.20141587142857098,negative,[],11,16,twitter,user6334,"Garissa, Kenya",,,,0.75,0,2025-09-28,1,False,True,58,11,1,1,0,0,27,0
43,Anyone else in Kilifi experiencing sweating? Worried about dengue,meru,2025-08-24 00:45:32.348500,-0.2715895720614318,negative,[],45,24,twitter,user6491,"Meru, Kenya",,,,0.5,0,2025-08-24,1,False,True,65,9,1,1,0,0,69,0
44,My friend has pain and pain. Should we worry about diarrhea?,malindi,2025-09-04 18:32:32.348500,-0.234320055237405,negative,[],38,77,twitter,user3399,"Malindi, Kenya",,,,0.5,0,2025-09-04,1,False,False,60,11,1,1,0,0,115,1
45,"Feeling terrible - headache, headache and headache. Hope it's not tuberculosis",eldoret,2025-08-05 09:33:32.348500,-0.15341430116635654,negative,[],29,91,twitter,user6786,"Eldoret, Kenya",,,,0.5,0,2025-08-05,1,False,False,78,11,1,1,0,0,120,1
46,Experiencing fatigue and fatigue. Could this be diarrhea? #health #Kenya,kericho,2025-10-02 20:48:32.348500,-0.11518718374187159,negative,[],18,85,twitter,user3391,"Kericho, Kenya",,,,0.5,0,2025-10-02,1,False,False,72,10,1,1,0,0,103,1
47,Is there a pneumonia outbreak? Hearing lots of cases in Thika,machakos,2025-07-15 03:42:32.348500,-0.20666484666362384,negative,[],12,28,twitter,user5129,"Machakos, Kenya",,,,0.75,0,2025-07-15,1,False,False,61,11,1,1,0,0,40,0
48,Anyone else in Nyeri experiencing vomiting? Worried about covid,kisumu,2025-07-25 16:37:32.359001,-0.21671452721838722,negative,[],48,77,twitter,user9942,"Kisumu, Kenya",,,,0.75,0,2025-07-25,1,False,False,63,9,1,1,0,0,125,1
49,Health alert: cholera cases increasing in Bungoma area,kilifi,2025-07-24 12:28:32.359001,-0.2507119388820074,negative,[],37,32,twitter,user2440,"Kilifi, Kenya",,,,0.75,0,2025-07-24,1,False,False,54,8,1,1,0,0,69,0
50,Visited hospital today - so many typhoid patients. Stay healthy Busia!,nairobi,2025-08-29 23:48:32.359001,-0.2948279683587492,negative,[],38,51,twitter,user5211,"Nairobi, Kenya",,,,0.5,0,2025-08-29,1,False,False,70,11,1,1,0,0,89,0
51,Health alert: tuberculosis cases increasing in Kilifi area,eldoret,2025-08-30 07:58:32.362915,-0.11089998126260217,negative,[],39,29,twitter,user3697,"Eldoret, Kenya",,,,0.5,0,2025-08-30,1,False,True,58,8,1,1,0,0,68,0
52,Visited hospital today - so many meningitis patients. Stay healthy Busia!,bungoma,2025-08-21 04:19:32.362915,-0.1411012554175097,negative,[],45,12,twitter,user5920,"Bungoma, Kenya",,,,0.5,0,2025-08-21,1,False,False,73,11,1,1,0,0,57,0
53,PSA: Get checked if you have vomiting. dengue is spreading in Kakamega,kisumu,2025-09-04 14:29:32.367127,-0.2862241443833803,negative,[],46,70,twitter,user2708,"Kisumu, Kenya",,,,0.5,0,2025-09-04,1,False,False,70,12,1,1,0,0,116,1
54,Experiencing dizziness and dizziness. Could this be covid? #health #Kenya,nyeri,2025-07-15 04:37:32.368511,-0.2883830985880414,negative,[],39,39,twitter,user2967,"Nyeri, Kenya",,,,0.75,0,2025-07-15,1,False,False,73,10,1,1,0,0,78,0
55,PSA: Get checked if you have fatigue. pneumonia is spreading in Kakamega,kakamega,2025-09-06 07:06:32.368511,-0.28916339803830865,negative,[],10,55,twitter,user1565,"Kakamega, Kenya",,,,0.5,0,2025-09-06,1,False,True,72,12,1,1,0,0,65,0
56,Kakamega residents reporting vomiting. Any idea what's going on?,bungoma,2025-08-13 16:42:32.368511,-0.203052175266742,negative,[],49,91,twitter,user5750,"Bungoma, Kenya",,,,0.5,0,2025-08-13,1,False,False,64,9,1,1,0,0,140,1
57,Cases of yellow fever reported in Kakamega. Please stay safe everyone!,busia,2025-09-01 02:11:32.368511,-0.2666903021987358,negative,[],9,29,twitter,user7428,"Busia, Kenya",,,,0.75,0,2025-09-01,1,False,False,70,11,1,1,0,0,38,0
58,My friend has vomiting and vomiting. Should we worry about meningitis?,kilifi,2025-07-25 01:51:32.368511,-0.1703868645740961,negative,[],48,96,twitter,user2579,"Kilifi, Kenya",,,,0.5,0,2025-07-25,1,False,False,70,11,1,1,0,0,144,1
59,Experiencing sweating and sweating. Could this be tuberculosis? #health #Kenya,kilifi,2025-08-28 14:22:32.368511,-0.2633055999198196,negative,[],25,56,twitter,user6623,"Kilifi, Kenya",,,,0.5,0,2025-08-28,1,False,False,78,10,1,1,0,0,81,0
60,Machakos residents reporting headache. Any idea what's going on?,malindi,2025-09-06 03:48:32.368511,-0.18821948515013331,negative,[],9,22,twitter,user6968,"Malindi, Kenya",,,,0.5,0,2025-09-06,1,False,True,64,9,1,1,0,0,31,0
61,Visited hospital today - so many cholera patients. Stay healthy Machakos!,kisumu,2025-08-27 17:09:32.368511,-0.1956773302473531,negative,[],12,89,twitter,user3640,"Kisumu, Kenya",,,,0.75,0,2025-08-27,1,False,False,73,11,1,1,0,0,101,1
62,Anyone else in Meru experiencing sweating? Worried about meningitis,kitale,2025-08-02 05:37:32.368511,-0.16563120245481902,negative,[],17,83,twitter,user5831,"Kitale, Kenya",,,,0.5,0,2025-08-02,1,False,True,67,9,1,1,0,0,100,1
63,Experiencing cough and cough. Could this be influenza? #health #Kenya,nakuru,2025-10-09 07:37:32.379711,-0.15665744782803298,negative,[],43,40,twitter,user4397,"Nakuru, Kenya",,,,0.75,0,2025-10-09,1,True,False,69,10,1,1,0,0,83,0
64,Anyone else in Kisumu experiencing chills? Worried about malaria,kilifi,2025-07-24 14:47:32.382357,-0.2460903529484201,negative,[],40,46,twitter,user5333,"Kilifi, Kenya",,,,0.75,0,2025-07-24,1,False,False,64,9,1,1,0,0,86,0
65,Is there a tuberculosis outbreak? Hearing lots of cases in Garissa,busia,2025-09-21 23:09:32.384329,-0.14233965461947357,negative,[],9,75,twitter,user4972,"Busia, Kenya",,,,0.75,0,2025-09-21,1,False,True,66,11,1,1,0,0,84,0
66,Cases of cholera reported in Nyeri. Please stay safe everyone!,kitale,2025-09-07 02:28:32.384329,-0.2891682291074596,negative,[],12,20,twitter,user4140,"Kitale, Kenya",,,,0.75,0,2025-09-07,1,False,True,62,10,1,1,0,0,32,0
67,PSA: Get checked if you have pain. diarrhea is spreading in Meru,nairobi,2025-10-09 13:45:32.387841,-0.16192053707223078,negative,[],42,92,twitter,user8628,"Nairobi, Kenya",,,,0.5,0,2025-10-09,1,True,False,64,12,1,1,0,0,134,1
68,Anyone else in Nyeri experiencing sweating? Worried about meningitis,kakamega,2025-07-29 22:53:32.387841,-0.1486842140405991,negative,[],25,28,twitter,user9088,"Kakamega, Kenya",,,,0.5,0,2025-07-29,1,False,False,68,9,1,1,0,0,53,0
69,Visited hospital today - so many covid patients. Stay healthy Busia!,nakuru,2025-10-04 19:30:32.387841,-0.14491785164457965,negative,[],9,96,twitter,user5718,"Nakuru, Kenya",,,,0.75,0,2025-10-04,1,True,True,68,11,1,1,0,0,105,1
70,"Feeling terrible - headache, headache and headache. Hope it's not meningitis",mombasa,2025-08-15 03:32:32.387841,-0.1786700172727413,negative,[],19,61,twitter,user5065,"Mombasa, Kenya",,,,0.5,0,2025-08-15,1,False,False,76,11,1,1,0,0,80,0
71,"Feeling terrible - cough, cough and cough. Hope it's not tuberculosis",eldoret,2025-09-30 17:00:32.387841,-0.1195888135369006,negative,[],7,67,twitter,user8663,"Eldoret, Kenya",,,,0.5,0,2025-09-30,1,False,False,69,11,1,1,0,0,74,0
72,Garissa residents reporting vomiting. Any idea what's going on?,garissa,2025-08-10 21:12:32.387841,-0.27423884765934115,negative,[],6,22,twitter,user3827,"Garissa, Kenya",,,,0.5,0,2025-08-10,1,False,True,63,9,1,1,0,0,28,0
73,My friend has fever and fever. Should we worry about influenza?,nairobi,2025-08-24 19:00:32.387841,-0.1950710969103257,negative,[],19,42,twitter,user5164,"Nairobi, Kenya",,,,1.0,0,2025-08-24,1,False,True,63,11,1,1,0,0,61,0
74,Nakuru residents reporting pain. Any idea what's going on?,kisii,2025-07-16 15:25:32.387841,-0.2750111441804216,negative,[],42,99,twitter,user4592,"Kisii, Kenya",,,,0.5,0,2025-07-16,1,False,False,58,9,1,1,0,0,141,1
75,My friend has vomiting and vomiting. Should we worry about tuberculosis?,thika,2025-09-14 06:47:32.396360,-0.20810009060433493,negative,[],31,35,twitter,user4754,"Thika, Kenya",,,,0.5,0,2025-09-14,1,False,True,72,11,1,1,0,0,66,0
76,Anyone else in Mombasa experiencing chills? Worried about meningitis,malindi,2025-09-10 06:06:32.396360,-0.16301200969354795,negative,[],30,50,twitter,user1271,"Malindi, Kenya",,,,0.5,0,2025-09-10,1,False,False,68,9,1,1,0,0,80,0
77,Experiencing cough and cough. Could this be covid? #health #Kenya,busia,2025-08-12 05:53:32.396360,-0.23609586859211862,negative,[],21,18,twitter,user9180,"Busia, Kenya",,,,0.75,0,2025-08-12,1,False,False,65,10,1,1,0,0,39,0
78,My friend has pain and pain. Should we worry about covid?,eldoret,2025-08-01 02:07:32.396360,-0.277745068273737,negative,[],49,31,twitter,user1271,"Eldoret, Kenya",,,,0.75,0,2025-08-01,1,False,False,57,11,1,1,0,0,80,0
79,Kakamega residents reporting headache. Any idea what's going on?,busia,2025-07-27 12:59:32.400862,-0.14538216894047065,negative,[],36,76,twitter,user5292,"Busia, Kenya",,,,0.5,0,2025-07-27,1,False,True,64,9,1,1,0,0,112,1
80,Health alert: pneumonia cases increasing in Thika area,machakos,2025-07-29 08:38:32.400862,-0.21744092699925927,negative,[],44,13,twitter,user6067,"Machakos, Kenya",,,,0.5,0,2025-07-29,1,False,False,54,8,1,1,0,0,57,0
81,Experiencing fatigue and fatigue. Could this be tuberculosis? #health #Kenya,busia,2025-08-02 10:35:32.400862,-0.14886207414198827,negative,[],41,43,twitter,user2058,"Busia, Kenya",,,,0.5,0,2025-08-02,1,False,True,76,10,1,1,0,0,84,0
82,PSA: Get checked if you have headache. influenza is spreading in Kilifi,nairobi,2025-09-11 04:14:32.402871,-0.23474998459308988,negative,[],30,17,twitter,user2259,"Nairobi, Kenya",,,,0.75,0,2025-09-11,1,False,False,71,12,1,1,0,0,47,0
83,Health alert: cholera cases increasing in Nairobi area,malindi,2025-09-01 04:07:32.402871,-0.2418581568042004,negative,[],21,97,twitter,user9667,"Malindi, Kenya",,,,0.75,0,2025-09-01,1,False,False,54,8,1,1,0,0,118,1
84,Is there a diarrhea outbreak? Hearing lots of cases in Eldoret,mombasa,2025-09-30 07:30:32.405269,-0.2936711716235113,negative,[],19,67,twitter,user2417,"Mombasa, Kenya",,,,0.75,0,2025-09-30,1,False,False,62,11,1,1,0,0,86,0
85,Is there a influenza outbreak? Hearing lots of cases in Kakamega,nakuru,2025-07-28 18:49:32.405269,-0.1820298499154311,negative,[],14,58,twitter,user8721,"Nakuru, Kenya",,,,1.0,0,2025-07-28,1,False,False,64,11,1,1,0,0,72,0
86,Health alert: yellow fever cases increasing in Garissa area,thika,2025-09-26 17:19:32.405269,-0.28276564893808104,negative,[],31,31,twitter,user2374,"Thika, Kenya",,,,0.75,0,2025-09-26,1,False,False,59,9,1,1,0,0,62,0
87,Is there a dengue outbreak? Hearing lots of cases in Busia,nakuru,2025-09-18 00:53:32.405269,-0.22208513342421837,negative,[],47,88,twitter,user9396,"Nakuru, Kenya",,,,0.75,0,2025-09-18,1,False,False,58,11,1,1,0,0,135,1
88,Is there a yellow fever outbreak? Hearing lots of cases in Kilifi,kericho,2025-08-31 14:14:32.405269,-0.2605533309385648,negative,[],33,78,twitter,user2627,"Kericho, Kenya",,,,1.0,0,2025-08-31,1,False,True,65,12,1,1,0,0,111,1
89,Nakuru residents reporting chills. Any idea what's going on?,nairobi,2025-09-16 01:31:32.405269,-0.28895812395290105,negative,[],18,65,twitter,user6152,"Nairobi, Kenya",,,,0.5,0,2025-09-16,1,False,False,60,9,1,1,0,0,83,0
90,My friend has headache and headache. Should we worry about yellow fever?,kitale,2025-09-01 06:57:32.405269,-0.2990665773329536,negative,[],2,75,twitter,user1303,"Kitale, Kenya",,,,0.75,0,2025-09-01,1,False,False,72,12,1,1,0,0,77,0
91,"Feeling terrible - cough, cough and cough. Hope it's not pneumonia",kisumu,2025-10-09 09:41:32.412929,-0.12197096204905863,negative,[],5,78,twitter,user6750,"Kisumu, Kenya",,,,0.5,0,2025-10-09,1,True,False,66,11,1,1,0,0,83,0
92,PSA: Get checked if you have fatigue. tuberculosis is spreading in Kilifi,kericho,2025-09-22 16:07:32.415427,-0.23992177298536796,negative,[],9,32,twitter,user5313,"Kericho, Kenya",,,,0.5,0,2025-09-22,1,False,False,73,12,1,1,0,0,41,0
93,Health alert: malaria cases increasing in Machakos area,nyeri,2025-07-17 01:04:32.415427,-0.19324956830175263,negative,[],34,24,twitter,user1937,"Nyeri, Kenya",,,,0.75,0,2025-07-17,1,False,False,55,8,1,1,0,0,58,0
94,Nakuru residents reporting dizziness. Any idea what's going on?,mombasa,2025-07-31 10:12:32.415427,-0.2785756951934166,negative,[],4,43,twitter,user6847,"Mombasa, Kenya",,,,0.5,0,2025-07-31,1,False,False,63,9,1,1,0,0,47,0
95,My friend has weakness and weakness. Should we worry about influenza?,kericho,2025-08-16 04:06:32.415427,-0.18800251259491996,negative,[],19,86,twitter,user1745,"Kericho, Kenya",,,,0.75,0,2025-08-16,1,False,True,69,11,1,1,0,0,105,1
96,"Feeling terrible - cough, cough and cough. Hope it's not covid",kisii,2025-07-28 14:56:32.415427,-0.16929922552116777,negative,[],16,12,twitter,user3228,"Kisii, Kenya",,,,0.75,0,2025-07-28,1,False,False,62,11,1,1,0,0,28,0
97,Cases of tuberculosis reported in Kakamega. Please stay safe everyone!,machakos,2025-10-06 08:19:32.415427,-0.2055872162554217,negative,[],38,73,twitter,user6325,"Machakos, Kenya",,,,0.5,0,2025-10-06,1,True,False,70,10,1,1,0,0,111,1
98,Anyone else in Garissa experiencing dizziness? Worried about influenza,malindi,2025-09-30 19:23:32.415427,-0.10158573999789308,negative,[],22,12,twitter,user9916,"Malindi, Kenya",,,,0.75,0,2025-09-30,1,False,False,70,9,1,1,0,0,34,0
100,Experiencing pain and pain. Could this be meningitis? #health #Kenya,kilifi,2025-09-11 06:15:32.415427,-0.14417106212968764,negative,[],34,23,twitter,user3411,"Kilifi, Kenya",,,,0.5,0,2025-09-11,1,False,False,68,10,1,1,0,0,57,0
101,Health alert: flu cases increasing in Machakos area,kisii,2025-10-06 17:45:32.415427,-0.11503620172112136,negative,[],44,21,twitter,user5213,"Kisii, Kenya",,,,0.75,0,2025-10-06,1,True,False,51,8,1,1,0,0,65,0
102,Is there a diarrhea outbreak? Hearing lots of cases in Nakuru,malindi,2025-07-29 01:10:32.415427,-0.26796650717297965,negative,[],29,15,twitter,user9364,"Malindi, Kenya",,,,0.75,0,2025-07-29,1,False,False,61,11,1,1,0,0,44,0
103,Experiencing headache and headache. Could this be yellow fever? #health #Kenya,garissa,2025-08-17 19:52:32.428593,-0.25854861365629994,negative,[],14,21,twitter,user7850,"Garissa, Kenya",,,,0.75,0,2025-08-17,1,False,True,78,11,1,1,0,0,35,0
104,"Feeling terrible - headache, headache and headache. Hope it's not meningitis",kitale,2025-09-02 16:58:32.429495,-0.14915438275623089,negative,[],7,0,twitter,user1211,"Kitale, Kenya",,,,0.25,0,2025-09-02,0,False,False,76,11,1,1,0,0,7,0
105,Visited hospital today - so many pneumonia patients. Stay healthy Machakos!,busia,2025-09-15 11:13:32.430563,-0.14362323521642456,negative,[],48,4,twitter,user4118,"Busia, Kenya",,,,0.5,0,2025-09-15,1,False,False,75,11,1,1,0,0,52,0
106,Is there a dengue outbreak? Hearing lots of cases in Kisii,nyeri,2025-08-29 02:27:32.430563,-0.21641011337216437,negative,[],27,37,twitter,user6227,"Nyeri, Kenya",,,,0.75,0,2025-08-29,1,False,False,58,11,1,1,0,0,64,0
107,My friend has nausea and nausea. Should we worry about malaria?,kericho,2025-07-20 08:21:32.430563,-0.13873485542771288,negative,[],42,55,twitter,user5288,"Kericho, Kenya",,,,0.75,0,2025-07-20,1,False,True,63,11,1,1,0,0,97,0
108,Anyone else in Nairobi experiencing headache? Worried about yellow fever,busia,2025-08-03 11:02:32.430563,-0.27294984295669145,negative,[],18,81,twitter,user3962,"Busia, Kenya",,,,0.75,0,2025-08-03,1,False,True,72,10,1,1,0,0,99,1
109,PSA: Get checked if you have nausea. cholera is spreading in Meru,malindi,2025-07-24 17:47:32.430563,-0.26302185104861237,negative,[],24,89,twitter,user4917,"Malindi, Kenya",,,,0.75,0,2025-07-24,1,False,False,65,12,1,1,0,0,113,1
110,Experiencing chills and chills. Could this be cholera? #health #Kenya,garissa,2025-08-30 22:40:32.430563,-0.14351044123467888,negative,[],42,100,twitter,user3440,"Garissa, Kenya",,,,0.75,0,2025-08-30,1,False,True,69,10,1,1,0,0,142,1
111,Is there a measles outbreak? Hearing lots of cases in Kakamega,bungoma,2025-09-25 06:18:32.430563,-0.2842403416642237,negative,[],49,78,twitter,user4968,"Bungoma, Kenya",,,,0.75,0,2025-09-25,1,False,False,62,11,1,1,0,0,127,1
